Comment,Designator,Footprint,LCSC,Quantity
100kΩ,"R4,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25803,2
100nF,"C2,C3,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C14663,3
100pF,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C14858,1
10uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C96446,1
22kΩ,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C31850,1
22uF,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,1
47uF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C16780,1
5.1kΩ,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C23186,1
68pF,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28262,1
6.8uH,L1,L_TDK_VLS6045EX_VLS6045AF,,1
PTPS543021DRLR,U2,DRL0006A-MFG,,1
Screw_Terminal_01x02,J2,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,,1
4.7uH,L2,L_TDK_VLS6045EX_VLS6045AF,,1
Conn_01x04_Pin,J1,PinSocket_1x04_P2.54mm_Vertical,,1
PTPS543021DRLR,U1,DRL0006A-MFG,,1
