Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.366,-68.9375,-90.0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,61.468,-68.9375,-90.0,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,67.4,-68.2,0.0,top
C4,47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.2,-67.65,-90.0,top
C5,68pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79.3,-69.6375,-90.0,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,67.3,-74.4,0.0,top
C7,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.2,-73.8,-90.0,top
C8,100pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79.3,-75.2,-90.0,top
J1,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,86.418,-70.744,180.0,bottom
J2,Screw_Terminal_01x02,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,52.5,-70.5,-90.0,top
L1,6.8uH,L_TDK_VLS6045EX_VLS6045AF,72.75,-68.25,0.0,top
L2,4.7uH,L_TDK_VLS6045EX_VLS6045AF,72.75,-75.0,0.0,top
R4,100kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,81.4,-67.6,-90.0,top
R5,22kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,83.5,-69.6,-90.0,top
R7,100kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,81.4,-73.855,-90.0,top
R8,5.1kΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,83.5,-75.9,-90.0,top
U1,PTPS543021DRLR,DRL0006A-MFG,64.270001,-67.572001,-90.0,top
U2,PTPS543021DRLR,DRL0006A-MFG,64.537999,-73.651999,-90.0,top
